jk_rowling,67976
lelab_e1,28349
lecio13002,25747
bfmtv,23926
le_gorafi,23684
alni92,18718
marcelinof54,15628
qofficiel,15204
nicolassarkozy,15052
tprincedelamour,14681
ornikkar,14175
mariannelemag,13216
verlainedjeni,12737
nouslesjeunes95,12716
cd_land,12213
nardinemorano,11398
qbinze,11220
sarkoziste,10945
ellensalvi,10756
equipenkm,10223
f_philippot,9781
c8c57,9703
nrenard75,9644
le_figaro,9551
fabricearfi,9186
marsupi_l_ami,9087
jugeantireac,8929
maitre_eolas,8894
fillon_78,8891
europe1,8847
florencedesruol,8806
zaksnow_,8752
keyzer_usual,8415
lemondefr,8262
lejdd,8060
gblardone,8004
limportant_fr,7984
marcdhere,7960
jeudybruno,7659
ntwolfmother,7554
widadk,7476
lehuffpost,7306
libe,7247
driax75,7157
brunomasure,7116
gmeurice,7042
supermegadrivin,7008
beatricelecoz,6988
franceinfo,6927
mediapart,6726
reicirrichier,6712
rassmarms,6692
fn_officiel,6682
marion_m_le_pen,6664
j_vitbr,6615
apostiller1,6536
jeremiedethelot,6443
demontvalon1,6360
joe_le_zef,6159
mompontet,5887
jwaintraub,5878
corsomaltais,5858
lepoint,5818
nawaknawak,5810
claudarnaud,5784
lemonde_pol,5600
rtlfrance,5573
sniperdedroite,5248
bettonkevin,5245
twystsky,5214
nslesjeunes,5168
wewantsarkoback,5161
rkaroutchi,5107
tendancesmusic,5094
edwyplenel,4996
jjbourdin_rmc,4980
grandludo,4778
ttpourlafrance,4747
nk_m,4717
l0mun,4645
lobs,4641
guillaumetc,4620
itele,4609
claude2mougins,4599
landeyves,4585
danielpilotte,4548
dominiquelunel,4527
soutiennicolas,4507
valeurs,4481
jadejops,4470
traduisonsles,4466
anthogonzalez56,4454
guillaume6869,4448
leconquiosetout,4441
20minutes,4393
fligoupier,4375
htan987,4371
pierrerosellini,4367
onzeleft,4351
coexister75,4328
maryseschumim,4287
guillaumedaret,4262
mehdiamzgh,4262
karimab_,4224
nicolasbayfn,4213
mauricemartin01,4131
rouqui2,4092
anti_umpfn,4084
lexpress,4078
afpfr,4029
padre_pio,3977
monty_brogan69,3962
cauderanais23,3905
avec_marine,3888
blaemag,3847
lesinrocks,3764
parispasrose,3721
le_parisien,3681
missdabo_,3665
didierporte,3645
fillon2017_fr,3607
boblecentriste,3605
david_rachline,3600
elboskoo_,3581
aurelherbemont,3538
phfvm,3516
xavier_alberti,3513
